train_number,train_name,source_station,destination_station,route,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,train_type,date,season,delay_category,day_of_week,month,travel_duration_hours,year_month
73624,Jan Shatabdi Express,New Delhi,Chandigarh,New Delhi → Chandigarh,2024-10-14 17:05:00,2024-10-14 17:10:00,2024-10-15 11:30:00,2024-10-15 11:35:00,5,Express,2024-10-14,Post-Monsoon,On-Time,Monday,10,18.42,2024-10
22899,Vivek Passenger,New Delhi,Agra Cantt,New Delhi → Agra Cantt,2024-04-24 10:25:00,2024-04-24 11:08:00,2024-04-25 09:36:00,2024-04-25 10:22:00,43,Passenger,2024-04-24,Summer,Major Delay,Wednesday,4,23.18,2024-04
17944,AC Express Passenger,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2025-12-04 22:30:00,2025-12-04 22:31:00,2025-12-05 06:32:00,2025-12-05 06:38:00,1,Passenger,2025-12-04,Winter,On-Time,Thursday,12,8.03,2025-12
41195,Garib Rath Express,Kolkata Howrah,Bhubaneswar,Kolkata Howrah → Bhubaneswar,2025-05-04 18:50:00,2025-05-04 19:12:00,2025-05-05 13:41:00,2025-05-05 14:03:00,22,Express,2025-05-04,Summer,Major Delay,Sunday,5,18.85,2025-05
44671,Shatabdi Superfast,Agra Cantt,New Delhi,Agra Cantt → New Delhi,2024-09-24 12:15:00,2024-09-24 12:35:00,2024-09-24 14:56:00,2024-09-24 15:11:00,20,Superfast,2024-09-24,Post-Monsoon,Minor Delay,Tuesday,9,2.68,2024-09
19880,Tejas Express,Patna Junction,Lucknow Charbagh,Patna Junction → Lucknow Charbagh,2024-02-02 09:10:00,2024-02-02 09:11:00,2024-02-02 18:46:00,2024-02-02 18:54:00,1,Express,2024-02-02,Winter,On-Time,Friday,2,9.6,2024-02
88504,Sampark Kranti Passenger,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2025-01-13 07:05:00,2025-01-13 07:12:00,2025-01-14 06:01:00,2025-01-14 06:07:00,7,Passenger,2025-01-13,Winter,Minor Delay,Monday,1,22.93,2025-01
13905,Tejas Superfast,Madurai Junction,Chennai Central,Madurai Junction → Chennai Central,2025-07-24 07:35:00,2025-07-24 07:58:00,2025-07-24 09:54:00,2025-07-24 10:19:00,23,Superfast,2025-07-24,Monsoon,Major Delay,Thursday,7,2.32,2025-07
85525,Shatabdi Express,New Delhi,Chennai Central,New Delhi → Chennai Central,2025-07-27 09:55:00,2025-07-27 10:24:00,2025-07-28 00:59:00,2025-07-28 01:37:00,29,Express,2025-07-27,Monsoon,Major Delay,Sunday,7,15.07,2025-07
72296,Kisan Passenger,Hyderabad Deccan,Bengaluru City,Hyderabad Deccan → Bengaluru City,2025-12-01 09:35:00,2025-12-01 10:05:00,2025-12-02 06:42:00,2025-12-02 07:20:00,30,Passenger,2025-12-01,Winter,Major Delay,Monday,12,21.12,2025-12
65296,Gatimaan Passenger,Chennai Central,Hyderabad Deccan,Chennai Central → Hyderabad Deccan,2025-12-08 06:20:00,2025-12-08 06:29:00,2025-12-08 22:50:00,2025-12-08 22:58:00,9,Passenger,2025-12-08,Winter,Minor Delay,Monday,12,16.5,2025-12
84364,Jan Shatabdi Passenger,Bengaluru City,Chennai Central,Bengaluru City → Chennai Central,2024-06-11 14:35:00,2024-06-11 15:15:00,2024-06-12 11:18:00,2024-06-12 12:02:00,40,Passenger,2024-06-11,Monsoon,Major Delay,Tuesday,6,20.72,2024-06
24662,Express Express,Lucknow Charbagh,New Delhi,Lucknow Charbagh → New Delhi,2025-02-15 08:55:00,2025-02-15 08:59:00,2025-02-16 00:32:00,2025-02-16 00:35:00,4,Express,2025-02-15,Winter,On-Time,Saturday,2,15.62,2025-02
77839,Superfast Express,Dehradun,New Delhi,Dehradun → New Delhi,2024-07-03 05:05:00,2024-07-03 05:34:00,2024-07-03 22:15:00,2024-07-03 22:44:00,29,Express,2024-07-03,Monsoon,Major Delay,Wednesday,7,17.17,2024-07
76784,Mail Passenger,Hyderabad Deccan,Bengaluru City,Hyderabad Deccan → Bengaluru City,2025-06-06 14:50:00,2025-06-06 15:11:00,2025-06-07 12:17:00,2025-06-07 12:48:00,21,Passenger,2025-06-06,Monsoon,Major Delay,Friday,6,21.45,2025-06
95649,Tejas Passenger,Chennai Central,Ernakulam Junction,Chennai Central → Ernakulam Junction,2025-04-09 07:50:00,2025-04-09 08:00:00,2025-04-10 03:49:00,2025-04-10 03:57:00,11,Passenger,2025-04-09,Summer,Minor Delay,Wednesday,4,19.98,2025-04
10282,Kisan Passenger,New Delhi,Mumbai Central,New Delhi → Mumbai Central,2024-08-12 17:35:00,2024-08-12 17:38:00,2024-08-13 02:43:00,2024-08-13 02:43:00,11,Passenger,2024-08-12,Monsoon,Minor Delay,Monday,8,9.13,2024-08
65333,Passenger Superfast,New Delhi,Mumbai Central,New Delhi → Mumbai Central,2024-05-20 17:50:00,2024-05-20 18:03:00,2024-05-20 21:11:00,2024-05-20 21:25:00,13,Superfast,2024-05-20,Summer,Minor Delay,Monday,5,3.35,2024-05
81482,Superfast Express,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2025-11-11 05:05:00,2025-11-11 05:08:00,2025-11-11 14:18:00,2025-11-11 14:26:00,3,Express,2025-11-11,Post-Monsoon,On-Time,Tuesday,11,9.22,2025-11
83000,Shatabdi Passenger,New Delhi,Chandigarh,New Delhi → Chandigarh,2025-01-21 10:45:00,2025-01-21 10:52:00,2025-01-22 02:58:00,2025-01-22 03:11:00,7,Passenger,2025-01-21,Winter,Minor Delay,Tuesday,1,16.22,2025-01
68800,Express Passenger,Bengaluru City,Hyderabad Deccan,Bengaluru City → Hyderabad Deccan,2025-01-24 09:50:00,2025-01-24 09:53:00,2025-01-24 22:52:00,2025-01-24 22:53:00,3,Passenger,2025-01-24,Winter,On-Time,Friday,1,13.03,2025-01
73699,Sampark Kranti Express,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2025-01-17 16:55:00,2025-01-17 17:30:00,2025-01-18 05:29:00,2025-01-18 06:03:00,35,Express,2025-01-17,Winter,Major Delay,Friday,1,12.57,2025-01
95477,Passenger Express,Mumbai Central,Pune Junction,Mumbai Central → Pune Junction,2024-12-22 17:30:00,2024-12-22 17:44:00,2024-12-22 23:03:00,2024-12-22 23:21:00,14,Express,2024-12-22,Winter,Minor Delay,Sunday,12,5.55,2024-12
12757,Jan Shatabdi Express,Mumbai Central,Ahmedabad Junction,Mumbai Central → Ahmedabad Junction,2024-03-29 07:45:00,2024-03-29 07:48:00,2024-03-29 18:26:00,2024-03-29 18:28:00,3,Express,2024-03-29,Summer,On-Time,Friday,3,10.68,2024-03
94012,Vande Bharat Express,Ranchi,Kolkata Howrah,Ranchi → Kolkata Howrah,2025-11-10 16:35:00,2025-11-10 16:48:00,2025-11-11 05:08:00,2025-11-11 05:27:00,13,Express,2025-11-10,Post-Monsoon,Minor Delay,Monday,11,12.55,2025-11
53309,Vande Bharat Passenger,New Delhi,Dehradun,New Delhi → Dehradun,2024-12-09 22:25:00,2024-12-09 22:30:00,2024-12-10 08:15:00,2024-12-10 08:20:00,5,Passenger,2024-12-09,Winter,On-Time,Monday,12,9.83,2024-12
60019,Rajdhani Passenger,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2024-05-31 18:15:00,2024-05-31 18:17:00,2024-06-01 04:37:00,2024-06-01 04:49:00,2,Passenger,2024-05-31,Summer,On-Time,Friday,5,10.37,2024-05
24621,Vivek Superfast,New Delhi,Chennai Central,New Delhi → Chennai Central,2024-05-17 15:35:00,2024-05-17 15:56:00,2024-05-17 21:23:00,2024-05-17 21:54:00,21,Superfast,2024-05-17,Summer,Major Delay,Friday,5,5.8,2024-05
22833,Intercity Passenger,Vijayawada Junction,Secunderabad,Vijayawada Junction → Secunderabad,2024-11-21 10:00:00,2024-11-21 10:25:00,2024-11-22 05:13:00,2024-11-22 05:33:00,25,Passenger,2024-11-21,Post-Monsoon,Major Delay,Thursday,11,19.22,2024-11
52487,Garib Rath Superfast,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2025-03-23 22:10:00,2025-03-23 22:12:00,2025-03-24 06:17:00,2025-03-24 06:17:00,2,Superfast,2025-03-23,Summer,On-Time,Sunday,3,8.12,2025-03
79352,Intercity Passenger,Agra Cantt,New Delhi,Agra Cantt → New Delhi,2024-11-16 12:30:00,2024-11-16 12:34:00,2024-11-17 03:47:00,2024-11-17 03:53:00,4,Passenger,2024-11-16,Post-Monsoon,On-Time,Saturday,11,15.28,2024-11
27342,Vande Bharat Passenger,Kanpur Central,Lucknow Charbagh,Kanpur Central → Lucknow Charbagh,2024-04-21 07:10:00,2024-04-21 07:10:00,2024-04-21 17:08:00,2024-04-21 17:15:00,0,Passenger,2024-04-21,Summer,On-Time,Sunday,4,9.97,2024-04
92397,AC Express Passenger,New Delhi,Agra Cantt,New Delhi → Agra Cantt,2025-11-05 17:10:00,2025-11-05 17:44:00,2025-11-06 08:50:00,2025-11-06 09:20:00,11,Passenger,2025-11-05,Post-Monsoon,Minor Delay,Wednesday,11,15.67,2025-11
44760,Duronto Express,Hyderabad Deccan,Chennai Central,Hyderabad Deccan → Chennai Central,2024-07-18 12:30:00,2024-07-18 12:31:00,2024-07-19 03:18:00,2024-07-19 03:20:00,1,Express,2024-07-18,Monsoon,On-Time,Thursday,7,14.8,2024-07
30032,Tejas Express,Ahmedabad Junction,Mumbai Central,Ahmedabad Junction → Mumbai Central,2024-10-06 16:35:00,2024-10-06 16:37:00,2024-10-07 10:37:00,2024-10-07 10:37:00,2,Express,2024-10-06,Post-Monsoon,On-Time,Sunday,10,18.03,2024-10
42742,Antyodaya Passenger,Hyderabad Deccan,Chennai Central,Hyderabad Deccan → Chennai Central,2024-11-13 07:40:00,2024-11-13 07:41:00,2024-11-13 20:31:00,2024-11-13 20:31:00,1,Passenger,2024-11-13,Post-Monsoon,On-Time,Wednesday,11,12.85,2024-11
31417,Passenger Passenger,New Delhi,Varanasi Junction,New Delhi → Varanasi Junction,2024-07-19 05:40:00,2024-07-19 05:59:00,2024-07-20 03:36:00,2024-07-20 04:02:00,19,Passenger,2024-07-19,Monsoon,Minor Delay,Friday,7,21.93,2024-07
31417,Garib Rath Express,Kolkata Howrah,Bhubaneswar,Kolkata Howrah → Bhubaneswar,2024-02-28 17:45:00,2024-02-28 17:56:00,2024-02-29 12:01:00,2024-02-29 12:20:00,11,Express,2024-02-28,Winter,Minor Delay,Wednesday,2,18.27,2024-02
24322,Vande Bharat Express,Secunderabad,Vijayawada Junction,Secunderabad → Vijayawada Junction,2025-04-30 21:20:00,2025-04-30 21:20:00,2025-05-01 10:17:00,2025-05-01 10:17:00,0,Express,2025-04-30,Summer,On-Time,Wednesday,4,12.95,2025-04
95477,Passenger Superfast,Bengaluru City,Hyderabad Deccan,Bengaluru City → Hyderabad Deccan,2025-06-04 20:10:00,2025-06-04 20:15:00,2025-06-05 06:27:00,2025-06-05 06:37:00,5,Superfast,2025-06-04,Monsoon,On-Time,Wednesday,6,10.28,2025-06
76237,Passenger Express,Lucknow Charbagh,Patna Junction,Lucknow Charbagh → Patna Junction,2024-05-31 08:35:00,2024-05-31 08:45:00,2024-05-31 14:44:00,2024-05-31 14:51:00,10,Express,2024-05-31,Summer,Minor Delay,Friday,5,6.15,2024-05
93227,Rajdhani Express,New Delhi,Chennai Central,New Delhi → Chennai Central,2024-03-02 18:05:00,2024-03-02 18:05:00,2024-03-03 08:53:00,2024-03-03 09:02:00,0,Express,2024-03-02,Summer,On-Time,Saturday,3,14.8,2024-03
32431,Rajdhani Express,Kolkata Howrah,Patna Junction,Kolkata Howrah → Patna Junction,2025-12-07 22:15:00,2025-12-07 22:34:00,2025-12-08 10:14:00,2025-12-08 10:39:00,19,Express,2025-12-07,Winter,Minor Delay,Sunday,12,11.98,2025-12
69638,Express Superfast,Bengaluru City,Mumbai Central,Bengaluru City → Mumbai Central,2024-08-29 13:25:00,2024-08-29 13:35:00,2024-08-30 01:10:00,2024-08-30 01:20:00,10,Superfast,2024-08-29,Monsoon,Minor Delay,Thursday,8,11.75,2024-08
85525,Garib Rath Passenger,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2024-08-21 18:40:00,2024-08-21 19:23:00,2024-08-22 01:24:00,2024-08-22 02:04:00,43,Passenger,2024-08-21,Monsoon,Major Delay,Wednesday,8,6.73,2024-08
35112,Vande Bharat Express,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2024-01-24 19:15:00,2024-01-24 19:19:00,2024-01-25 13:02:00,2024-01-25 13:05:00,4,Express,2024-01-24,Winter,On-Time,Wednesday,1,17.78,2024-01
93320,Mail Express,Jaipur Junction,New Delhi,Jaipur Junction → New Delhi,2024-11-08 09:20:00,2024-11-08 09:52:00,2024-11-09 01:53:00,2024-11-09 02:35:00,32,Express,2024-11-08,Post-Monsoon,Major Delay,Friday,11,16.55,2024-11
20322,Uday Superfast,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2024-08-18 11:20:00,2024-08-18 11:44:00,2024-08-18 17:03:00,2024-08-18 17:34:00,24,Superfast,2024-08-18,Monsoon,Major Delay,Sunday,8,5.72,2024-08
48427,Shatabdi Passenger,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2025-09-29 06:05:00,2025-09-29 06:18:00,2025-09-29 14:56:00,2025-09-29 15:12:00,13,Passenger,2025-09-29,Post-Monsoon,Minor Delay,Monday,9,8.85,2025-09
17100,Antyodaya Passenger,Secunderabad,Vijayawada Junction,Secunderabad → Vijayawada Junction,2025-05-16 06:40:00,2025-05-16 06:50:00,2025-05-16 18:05:00,2025-05-16 18:25:00,10,Passenger,2025-05-16,Summer,Minor Delay,Friday,5,11.42,2025-05
12757,Uday Superfast,Bengaluru City,Hyderabad Deccan,Bengaluru City → Hyderabad Deccan,2024-11-25 12:10:00,2024-11-25 12:15:00,2024-11-25 15:25:00,2024-11-25 15:36:00,5,Superfast,2024-11-25,Post-Monsoon,On-Time,Monday,11,3.25,2024-11
65444,Duronto Passenger,New Delhi,Agra Cantt,New Delhi → Agra Cantt,2025-05-18 16:25:00,2025-05-18 16:27:00,2025-05-19 01:21:00,2025-05-19 01:29:00,2,Passenger,2025-05-18,Summer,On-Time,Sunday,5,8.93,2025-05
68800,Humsafar Express,Varanasi Junction,New Delhi,Varanasi Junction → New Delhi,2025-08-25 06:20:00,2025-08-25 06:27:00,2025-08-25 22:15:00,2025-08-25 22:22:00,7,Express,2025-08-25,Monsoon,Minor Delay,Monday,8,15.92,2025-08
96474,Sampark Kranti Express,Kanpur Central,Lucknow Charbagh,Kanpur Central → Lucknow Charbagh,2024-03-03 09:25:00,2024-03-03 09:41:00,2024-03-03 20:08:00,2024-03-03 20:25:00,16,Express,2024-03-03,Summer,Minor Delay,Sunday,3,10.72,2024-03
17331,Antyodaya Express,New Delhi,Agra Cantt,New Delhi → Agra Cantt,2025-01-02 05:35:00,2025-01-02 05:56:00,2025-01-02 11:47:00,2025-01-02 12:15:00,21,Express,2025-01-02,Winter,Major Delay,Thursday,1,6.2,2025-01
17592,Mail Passenger,Kolkata Howrah,Ranchi,Kolkata Howrah → Ranchi,2024-04-16 10:10:00,2024-04-16 10:30:00,2024-04-17 09:35:00,2024-04-17 10:00:00,20,Passenger,2024-04-16,Summer,Minor Delay,Tuesday,4,23.42,2024-04
30926,Humsafar Passenger,Mumbai Central,Pune Junction,Mumbai Central → Pune Junction,2024-01-28 21:40:00,2024-01-28 21:44:00,2024-01-29 11:01:00,2024-01-29 11:11:00,4,Passenger,2024-01-28,Winter,On-Time,Sunday,1,13.35,2024-01
69177,Humsafar Express,New Delhi,Agra Cantt,New Delhi → Agra Cantt,2024-04-07 15:30:00,2024-04-07 15:31:00,2024-04-08 01:12:00,2024-04-08 01:16:00,1,Express,2024-04-07,Summer,On-Time,Sunday,4,9.7,2024-04
27342,AC Express Superfast,Kolkata Howrah,Patna Junction,Kolkata Howrah → Patna Junction,2024-03-27 22:35:00,2024-03-27 22:45:00,2024-03-28 08:20:00,2024-03-28 08:40:00,10,Superfast,2024-03-27,Summer,Minor Delay,Wednesday,3,9.75,2024-03
66985,Tejas Express,New Delhi,Chandigarh,New Delhi → Chandigarh,2025-03-14 10:50:00,2025-03-14 10:53:00,2025-03-14 21:46:00,2025-03-14 21:48:00,3,Express,2025-03-14,Summer,On-Time,Friday,3,10.93,2025-03
98696,Humsafar Express,New Delhi,Chandigarh,New Delhi → Chandigarh,2024-03-05 16:40:00,2024-03-05 16:42:00,2024-03-06 01:41:00,2024-03-06 01:41:00,2,Express,2024-03-05,Summer,On-Time,Tuesday,3,9.02,2024-03
99166,Humsafar Passenger,Kolkata Howrah,Bhubaneswar,Kolkata Howrah → Bhubaneswar,2024-12-03 14:10:00,2024-12-03 14:22:00,2024-12-03 22:57:00,2024-12-03 23:19:00,12,Passenger,2024-12-03,Winter,Minor Delay,Tuesday,12,8.78,2024-12
38657,Tejas Express,Jaipur Junction,New Delhi,Jaipur Junction → New Delhi,2025-02-27 19:10:00,2025-02-27 19:12:00,2025-02-28 04:08:00,2025-02-28 04:13:00,2,Express,2025-02-27,Winter,On-Time,Thursday,2,8.97,2025-02
18675,Shatabdi Passenger,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2025-01-11 16:55:00,2025-01-11 17:47:00,2025-01-12 15:33:00,2025-01-12 16:33:00,52,Passenger,2025-01-11,Winter,Major Delay,Saturday,1,22.63,2025-01
71348,Humsafar Superfast,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2024-12-14 06:10:00,2024-12-14 06:13:00,2024-12-14 18:54:00,2024-12-14 19:06:00,3,Superfast,2024-12-14,Winter,On-Time,Saturday,12,12.73,2024-12
30730,Sampark Kranti Express,Ernakulam Junction,Chennai Central,Ernakulam Junction → Chennai Central,2024-09-09 10:30:00,2024-09-09 10:49:00,2024-09-10 03:50:00,2024-09-10 04:12:00,19,Express,2024-09-09,Post-Monsoon,Minor Delay,Monday,9,17.33,2024-09
42098,Passenger Express,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2024-11-19 07:25:00,2024-11-19 07:45:00,2024-11-19 13:32:00,2024-11-19 14:01:00,20,Express,2024-11-19,Post-Monsoon,Minor Delay,Tuesday,11,6.12,2024-11
24371,Intercity Passenger,Amritsar Junction,New Delhi,Amritsar Junction → New Delhi,2024-07-12 13:00:00,2024-07-12 13:01:00,2024-07-13 13:22:00,2024-07-13 13:22:00,1,Passenger,2024-07-12,Monsoon,On-Time,Friday,7,24.37,2024-07
87397,AC Express Passenger,Patna Junction,Kolkata Howrah,Patna Junction → Kolkata Howrah,2025-12-29 06:30:00,2025-12-29 07:28:00,2025-12-29 21:19:00,2025-12-29 22:13:00,58,Passenger,2025-12-29,Winter,Major Delay,Monday,12,14.82,2025-12
28726,Kisan Passenger,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2025-04-15 20:55:00,2025-04-15 21:25:00,2025-04-16 18:11:00,2025-04-16 18:36:00,30,Passenger,2025-04-15,Summer,Major Delay,Tuesday,4,21.27,2025-04
71993,Sampark Kranti Express,Pune Junction,Secunderabad,Pune Junction → Secunderabad,2025-12-10 06:20:00,2025-12-10 06:25:00,2025-12-10 14:12:00,2025-12-10 14:27:00,5,Express,2025-12-10,Winter,On-Time,Wednesday,12,7.87,2025-12
28131,Sampark Kranti Express,Varanasi Junction,New Delhi,Varanasi Junction → New Delhi,2025-11-27 22:15:00,2025-11-27 22:16:00,2025-11-28 05:27:00,2025-11-28 05:27:00,1,Express,2025-11-27,Post-Monsoon,On-Time,Thursday,11,7.2,2025-11
67422,Garib Rath Express,Chennai Central,New Delhi,Chennai Central → New Delhi,2025-04-10 07:40:00,2025-04-10 07:51:00,2025-04-10 21:33:00,2025-04-10 21:42:00,11,Express,2025-04-10,Summer,Minor Delay,Thursday,4,13.88,2025-04
66498,Mail Express,New Delhi,Chandigarh,New Delhi → Chandigarh,2024-10-15 22:20:00,2024-10-15 22:30:00,2024-10-16 11:26:00,2024-10-16 11:32:00,10,Express,2024-10-15,Post-Monsoon,Minor Delay,Tuesday,10,13.1,2024-10
63883,Jan Shatabdi Express,Kolkata Howrah,Ranchi,Kolkata Howrah → Ranchi,2024-01-13 12:30:00,2024-01-13 12:36:00,2024-01-13 18:21:00,2024-01-13 18:35:00,6,Express,2024-01-13,Winter,Minor Delay,Saturday,1,5.85,2024-01
33416,Passenger Passenger,Mumbai Central,Bengaluru City,Mumbai Central → Bengaluru City,2024-11-03 21:20:00,2024-11-03 21:24:00,2024-11-04 16:40:00,2024-11-04 16:51:00,4,Passenger,2024-11-03,Post-Monsoon,On-Time,Sunday,11,19.33,2024-11
89818,Shatabdi Passenger,New Delhi,Mumbai Central,New Delhi → Mumbai Central,2024-08-15 09:55:00,2024-08-15 10:16:00,2024-08-16 08:52:00,2024-08-16 09:16:00,21,Passenger,2024-08-15,Monsoon,Major Delay,Thursday,8,22.95,2024-08
67422,Express Passenger,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2025-07-23 19:55:00,2025-07-23 20:00:00,2025-07-24 20:43:00,2025-07-24 20:47:00,5,Passenger,2025-07-23,Monsoon,On-Time,Wednesday,7,24.8,2025-07
66498,Shatabdi Express,Kanpur Central,Lucknow Charbagh,Kanpur Central → Lucknow Charbagh,2025-10-19 06:40:00,2025-10-19 06:52:00,2025-10-19 11:33:00,2025-10-19 11:42:00,12,Express,2025-10-19,Post-Monsoon,Minor Delay,Sunday,10,4.88,2025-10
76540,Antyodaya Passenger,New Delhi,Kolkata Howrah,New Delhi → Kolkata Howrah,2024-11-08 21:10:00,2024-11-08 21:11:00,2024-11-09 12:12:00,2024-11-09 12:23:00,1,Passenger,2024-11-08,Post-Monsoon,On-Time,Friday,11,15.03,2024-11
51347,Rajdhani Passenger,Kolkata Howrah,Bhubaneswar,Kolkata Howrah → Bhubaneswar,2024-09-03 14:40:00,2024-09-03 15:29:00,2024-09-04 05:20:00,2024-09-04 06:05:00,49,Passenger,2024-09-03,Post-Monsoon,Major Delay,Tuesday,9,14.67,2024-09
19880,Gatimaan Passenger,Lucknow Charbagh,Kanpur Central,Lucknow Charbagh → Kanpur Central,2024-01-15 14:25:00,2024-01-15 14:26:00,2024-01-16 12:33:00,2024-01-16 12:33:00,1,Passenger,2024-01-15,Winter,On-Time,Monday,1,22.13,2024-01
96474,Gatimaan Express,New Delhi,Dehradun,New Delhi → Dehradun,2024-03-06 11:30:00,2024-03-06 11:41:00,2024-03-06 20:06:00,2024-03-06 20:25:00,11,Express,2024-03-06,Summer,Minor Delay,Wednesday,3,8.6,2024-03
61173,Vande Bharat Express,New Delhi,Jaipur Junction,New Delhi → Jaipur Junction,2024-11-20 14:45:00,2024-11-20 14:48:00,2024-11-21 07:43:00,2024-11-21 07:50:00,3,Express,2024-11-20,Post-Monsoon,On-Time,Wednesday,11,16.97,2024-11
26361,Passenger Express,Mumbai Central,Nagpur Junction,Mumbai Central → Nagpur Junction,2024-08-15 19:45:00,2024-08-15 19:54:00,2024-08-16 09:55:00,2024-08-16 10:12:00,9,Express,2024-08-15,Monsoon,Minor Delay,Thursday,8,14.17,2024-08
10074,Passenger Express,Chennai Central,Ernakulam Junction,Chennai Central → Ernakulam Junction,2025-04-11 09:10:00,2025-04-11 09:14:00,2025-04-11 19:53:00,2025-04-11 19:58:00,4,Express,2025-04-11,Summer,On-Time,Friday,4,10.72,2025-04
80686,Vande Bharat Superfast,Bengaluru City,Hyderabad Deccan,Bengaluru City → Hyderabad Deccan,2025-12-03 12:30:00,2025-12-03 12:40:00,2025-12-03 22:57:00,2025-12-03 23:09:00,10,Superfast,2025-12-03,Winter,Minor Delay,Wednesday,12,10.45,2025-12
44993,Kisan Passenger,Chennai Central,Ernakulam Junction,Chennai Central → Ernakulam Junction,2024-08-21 09:30:00,2024-08-21 10:02:00,2024-08-22 05:28:00,2024-08-22 06:08:00,32,Passenger,2024-08-21,Monsoon,Major Delay,Wednesday,8,19.97,2024-08
52487,Garib Rath Superfast,Mumbai Central,Ahmedabad Junction,Mumbai Central → Ahmedabad Junction,2025-07-17 05:10:00,2025-07-17 05:23:00,2025-07-17 10:37:00,2025-07-17 10:50:00,13,Superfast,2025-07-17,Monsoon,Minor Delay,Thursday,7,5.45,2025-07
81426,Tejas Express,Chennai Central,Bengaluru City,Chennai Central → Bengaluru City,2024-12-31 14:30:00,2024-12-31 15:14:00,2025-01-01 02:42:00,2025-01-01 03:31:00,44,Express,2024-12-31,Winter,Major Delay,Tuesday,12,12.2,2024-12
10851,Sampark Kranti Passenger,Pune Junction,Secunderabad,Pune Junction → Secunderabad,2024-04-13 21:55:00,2024-04-13 22:02:00,2024-04-14 06:57:00,2024-04-14 07:08:00,7,Passenger,2024-04-13,Summer,Minor Delay,Saturday,4,9.03,2024-04
13478,Passenger Passenger,Bengaluru City,Mysuru Junction,Bengaluru City → Mysuru Junction,2024-03-23 12:25:00,2024-03-23 12:26:00,2024-03-23 21:30:00,2024-03-23 21:41:00,1,Passenger,2024-03-23,Summer,On-Time,Saturday,3,9.08,2024-03
79163,Gatimaan Passenger,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2024-08-27 22:30:00,2024-08-27 22:41:00,2024-08-28 22:05:00,2024-08-28 22:14:00,11,Passenger,2024-08-27,Monsoon,Minor Delay,Tuesday,8,23.58,2024-08
22833,Sampark Kranti Express,Mumbai Central,Bengaluru City,Mumbai Central → Bengaluru City,2024-09-17 22:50:00,2024-09-17 22:55:00,2024-09-18 05:37:00,2024-09-18 05:44:00,5,Express,2024-09-17,Post-Monsoon,On-Time,Tuesday,9,6.78,2024-09
86622,Antyodaya Express,New Delhi,Agra Cantt,New Delhi → Agra Cantt,2024-11-04 13:55:00,2024-11-04 14:04:00,2024-11-05 03:29:00,2024-11-05 03:40:00,9,Express,2024-11-04,Post-Monsoon,Minor Delay,Monday,11,13.57,2024-11
84341,Duronto Express,Bengaluru City,Mumbai Central,Bengaluru City → Mumbai Central,2025-07-10 06:45:00,2025-07-10 07:00:00,2025-07-11 00:54:00,2025-07-11 01:17:00,15,Express,2025-07-10,Monsoon,Minor Delay,Thursday,7,18.15,2025-07
18834,Sampark Kranti Passenger,Lucknow Charbagh,Patna Junction,Lucknow Charbagh → Patna Junction,2024-08-15 18:20:00,2024-08-15 19:01:00,2024-08-16 12:29:00,2024-08-16 13:09:00,41,Passenger,2024-08-15,Monsoon,Major Delay,Thursday,8,18.15,2024-08
25860,Kisan Express,Kolkata Howrah,Patna Junction,Kolkata Howrah → Patna Junction,2025-10-05 10:45:00,2025-10-05 10:48:00,2025-10-05 20:22:00,2025-10-05 20:32:00,3,Express,2025-10-05,Post-Monsoon,On-Time,Sunday,10,9.62,2025-10
22363,Vande Bharat Superfast,Lucknow Charbagh,Patna Junction,Lucknow Charbagh → Patna Junction,2024-11-10 19:25:00,2024-11-10 19:34:00,2024-11-11 02:08:00,2024-11-11 02:23:00,9,Superfast,2024-11-10,Post-Monsoon,Minor Delay,Sunday,11,6.72,2024-11
73653,Kisan Passenger,Kanpur Central,Lucknow Charbagh,Kanpur Central → Lucknow Charbagh,2025-08-24 11:00:00,2025-08-24 11:01:00,2025-08-24 23:11:00,2025-08-24 23:11:00,1,Passenger,2025-08-24,Monsoon,On-Time,Sunday,8,12.18,2025-08
66498,Antyodaya Superfast,New Delhi,Guwahati,New Delhi → Guwahati,2025-04-16 10:55:00,2025-04-16 11:11:00,2025-04-16 18:05:00,2025-04-16 18:20:00,16,Superfast,2025-04-16,Summer,Minor Delay,Wednesday,4,7.17,2025-04
